wave_l,mcp_l,pip_l,wave_r,mcp_r,pip_r,box_size,box_mass,box_mu_s,force_setpoint,time_step,seed,tag,outcome,held,slip_time,drift_final,rot_drift_final,f1_L,f2_L,f3_L,rho_L,grip_force_L,f1_R,f2_R,f3_R,rho_R,grip_force_R,q_L_Wave,q_L_MCP,q_L_PIP,q_L_DIP,q_R_Wave,q_R_MCP,q_R_PIP,q_R_DIP,cond_id,wave_deg,pip_deg,mcp_solved_deg,probe_idx,repeat
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.06,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2415695482077806,0.06904919931607932,-0.08726605969965306,-0.08726575350610269,0.24152701411044897,0.06879325199396998,-0.0872660736416704,-0.08726578851540698,w-15.0_p-05.0_m060,-15.0,-5.0,4.635925292968749,0,0
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.06,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24156928798349156,0.06881345689024468,-0.08726606699252747,-0.08726575413054839,0.2415270550818208,0.06871058406240341,-0.08726607697224031,-0.08726578581088901,w-15.0_p-05.0_m060,-15.0,-5.0,4.635925292968749,0,1
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.03,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24157004468860252,0.06984539386074434,-0.08726604867146949,-0.08726575743691067,0.24152767284593915,0.06963598826931507,-0.08726606124933774,-0.08726579103771373,w-15.0_p-05.0_m030,-15.0,-5.0,4.635925292968749,0,0
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.03,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2415698471657302,0.06966510875726495,-0.08726605461512846,-0.08726575717762135,0.24152769505748586,0.06956239247788805,-0.08726606470989284,-0.08726578802182207,w-15.0_p-05.0_m030,-15.0,-5.0,4.635925292968749,0,1
-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.03,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2415650111801812,0.06706629949428833,-0.07995882035355967,-0.08212119555101706,0.2415264058902093,0.06676112029902116,-0.08027129271511038,-0.08258208425404706,w-15.0_p-02.0_m030,-15.0,-2.0,2.95867919921875,0,0
-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.03,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2415648391855185,0.06679864865195394,-0.08000507193012037,-0.08213118883805605,0.2415263175396558,0.06667631152762828,-0.08014305838670761,-0.08233365675490352,w-15.0_p-02.0_m030,-15.0,-2.0,2.95867919921875,0,1
-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.06,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24156465856913967,0.06645913819624337,-0.0802138634576798,-0.08238668432405154,0.24152603264005074,0.0661963734045745,-0.08048616418510963,-0.08278819652308318,w-15.0_p-02.0_m060,-15.0,-2.0,2.95867919921875,0,0
-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.06,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2415645193361945,0.06621865109904454,-0.08024620325815329,-0.08237903237338233,0.24152593413823514,0.06609598467240767,-0.08038446306061325,-0.08258192234589296,w-15.0_p-02.0_m060,-15.0,-2.0,2.95867919921875,0,1
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.12,1.0,2.5,0.002,0,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2415692021333823,0.0685951510945083,-0.08726604310518393,-0.08726575230334747,0.24152671588997807,0.06839092720282251,-0.08726607702933561,-0.08726578605124351,w-15.0_p-05.0_m120,-15.0,-5.0,4.635925292968749,0,0
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.12,1.0,2.5,0.002,1,sweepA,no_grasp,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2415689943428591,0.06839355899290642,-0.08726606114681448,-0.08726575242458662,0.24152672046171242,0.06829081727598783,-0.08726608402453404,-0.08726578429299595,w-15.0_p-05.0_m120,-15.0,-5.0,4.635925292968749,0,1
