wave_l,mcp_l,pip_l,wave_r,mcp_r,pip_r,box_size,box_mass,box_mu_s,force_setpoint,time_step,seed,tag,outcome,held,slip_time,drift_final,rot_drift_final,f1_L,f2_L,f3_L,rho_L,grip_force_L,f1_R,f2_R,f3_R,rho_R,grip_force_R,q_L_Wave,q_L_MCP,q_L_PIP,q_L_DIP,q_R_Wave,q_R_MCP,q_R_PIP,q_R_DIP,cond_id,wave_deg,pip_deg,mcp_solved_deg,probe_idx,repeat
0.0,0.030455910226146167,0.0,-0.0,0.030455910226146167,0.0,0.025,0.05,1.0,5.0,0.002,0,smoke,held,True,,0.0006424307574105205,0.021215093111612782,0.022663501877756315,-0.06540897885472896,0.0031166917180085988,27846.18931764549,0.08844376358086789,0.7818007229625191,-0.11672976617167947,-0.00739812042759511,0.7492457268982992,0.9859591215437564,-0.0002653232479053065,0.29020226809614497,-0.08727172886352645,-0.08726824772571776,-7.72629481674469e-05,-0.020769854520339977,-0.08727158414647643,-0.08726806229596867,w+00.0_p+00.0_m050,0.0,0.0,1.7449951171875,0,0
0.0,0.030455910226146167,0.0,-0.0,0.030455910226146167,0.0,0.025,0.05,1.0,0.05,0.002,1000,smoke,drop,False,,0.0,0.0,0.011798600738722043,0.009723187034224793,-1.2688267099680197e-05,0.1536194077024378,0.02578265145135205,0.009849384857606898,0.008335918361050654,-1.450212034639638e-05,0.15472740584571892,0.03355345118728302,-5.735655278873503e-06,0.05688298643072411,-0.011301330597766375,-0.013527464317336058,4.840866412895733e-06,0.056657668242755,-0.01139094027087284,-0.013699222030425902,w+00.0_p+00.0_m050,0.0,0.0,1.7449951171875,1,0
0.0,0.030455910226146167,0.0,-0.0,0.030455910226146167,0.0,0.025,0.05,1.0,0.5,0.002,2000,smoke,held,True,,3.747661290751415e-06,0.0029473183961580755,0.4988794303203772,0.24581842634642226,-3.092830321480136e-06,0.492751643297254,0.5561550666545085,0.4994141568943431,0.24431096494341945,4.022704189314695e-05,0.4891986297481713,0.5559701983022479,6.795965054398538e-05,0.09846260973905703,-0.08726614715248854,-0.08726614190785904,-5.4417845672323846e-05,0.08344506143895367,-0.08726614428156922,-0.0872661429912374,w+00.0_p+00.0_m050,0.0,0.0,1.7449951171875,2,0
0.0,0.030455910226146167,0.0,-0.0,0.030455910226146167,0.0,0.025,0.05,1.0,0.15811388300841897,0.002,3000,smoke,drop,False,,0.07443426944269517,0.04641047525322482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7307207918228406e-05,0.18332788947539624,-0.03196799377747266,-0.034163701179252354,-1.8968209856979327e-05,0.18123193224867004,-0.032026744148963844,-0.03438663372789922,w+00.0_p+00.0_m050,0.0,0.0,1.7449951171875,3,0
0.0,0.030455910226146167,0.0,-0.0,0.030455910226146167,0.0,0.025,0.05,1.0,0.28117066259517454,0.002,4000,smoke,drop,False,1.2849999999999946,0.15186005316719514,0.2954311029324073,0.1414360565373856,0.11987562853351517,-0.00022873180044141357,0.455480569656184,0.18540566507865422,0.14244037836315873,0.12029598539380769,-0.00023315250261343127,0.453815185040454,0.1864440970983759,-2.090047559581733e-06,0.12807556973268752,-0.07652314917583411,-0.08290109072776207,1.3561714517709028e-06,0.1223407816996168,-0.07673680926427255,-0.08302651152829073,w+00.0_p+00.0_m050,0.0,0.0,1.7449951171875,4,0
0.0,-0.013747237546989026,0.06981317007977318,-0.0,-0.013747237546989026,0.06981317007977318,0.025,0.05,1.0,5.0,0.002,0,smoke,held,True,,0.0006694305693994906,0.020058936313778874,0.03071840280303728,-0.08701272249969713,0.003173059748184565,36833.25499402054,0.11755653238385903,0.6698890788642893,-0.19266339650564981,-0.0008429315488589427,0.6753521860823596,0.8374007622449529,-0.00016880983096246322,0.2908017043982399,-0.08727157478700641,-0.08726828756691944,-6.450323370552466e-05,-0.01816991601245659,-0.08727143517953974,-0.08726810895773025,w+00.0_p+04.0_m050,0.0,4.0,-0.7876586914062499,0,0
0.0,-0.013747237546989026,0.06981317007977318,-0.0,-0.013747237546989026,0.06981317007977318,0.025,0.05,1.0,0.05,0.002,1000,smoke,drop,False,,0.0,0.0,0.01704996807380386,0.014617051745121885,-6.504492180405554e-05,0.26448173747866927,0.025125651253603328,0.01569070127386419,0.01312062627052758,-3.524737480235047e-05,0.26572411281686664,0.021687938581307742,-8.901224120420146e-06,0.018748278880628952,0.05612106202290256,0.05341011283885939,8.338602783341613e-06,0.01635755911578806,0.05586025612391707,0.052962807472924076,w+00.0_p+04.0_m050,0.0,4.0,-0.7876586914062499,1,0
0.0,-0.013747237546989026,0.06981317007977318,-0.0,-0.013747237546989026,0.06981317007977318,0.025,0.05,1.0,0.5,0.002,2000,smoke,held,True,,3.0386398654776877e-05,0.01367396519206079,0.49765508780662093,0.2463634116832718,-1.7161741969924016e-06,0.4950486471726994,0.5552982349731765,0.5007860156741133,0.2441267008378098,2.087824069944883e-06,0.48749959455478664,0.5571243808406976,0.00013089263529088884,0.10293912356969832,-0.08035436580004451,-0.08726609678577905,-7.796890636034996e-05,0.07258939595092287,-0.07768713841496773,-0.08726607736665216,w+00.0_p+04.0_m050,0.0,4.0,-0.7876586914062499,2,0
0.0,-0.013747237546989026,0.06981317007977318,-0.0,-0.013747237546989026,0.06981317007977318,0.025,0.05,1.0,0.15811388300841897,0.002,3000,smoke,drop,False,,0.08309991510868628,0.038952055023889175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.998869947665076e-06,0.14233214165315117,0.03478152167321617,0.03165176561348281,-9.96531896027855e-06,0.13932441316435934,0.034808241371028115,0.03148025083555813,w+00.0_p+04.0_m050,0.0,4.0,-0.7876586914062499,3,0
0.0,-0.013747237546989026,0.06981317007977318,-0.0,-0.013747237546989026,0.06981317007977318,0.025,0.05,1.0,0.28117066259517454,0.002,4000,smoke,drop,False,1.264999999999995,0.15469857277333268,0.32900244341681195,0.1400503984445993,0.118829085465198,-0.0004152643930140927,0.4559334844417778,0.18367398556032163,0.14111731130171598,0.11888535810128203,-0.0003286079842601389,0.45281475381518455,0.18452498385837526,-1.9375459480480912e-05,0.09012849124214199,-0.011806821693092743,-0.02397305185972068,2.3462223573090194e-08,0.08446585768842657,-0.011937582967455677,-0.024325909478400725,w+00.0_p+04.0_m050,0.0,4.0,-0.7876586914062499,4,0
