wave_l,mcp_l,pip_l,wave_r,mcp_r,pip_r,box_size,box_mass,box_mu_s,force_setpoint,setpoint_ramp,time_step,seed,tag,outcome,held,slip_time,drift_final,rot_drift_final,f1_L,f2_L,f3_L,rho_L,grip_force_L,f1_R,f2_R,f3_R,rho_R,grip_force_R,q_L_Wave,q_L_MCP,q_L_PIP,q_L_DIP,q_R_Wave,q_R_MCP,q_R_PIP,q_R_DIP,cond_id,wave_deg,pip_deg,mcp_solved_deg,probe_idx,repeat
-0.2617993877991494,0.030455910226146167,0.0,0.2617993877991494,0.030455910226146167,0.0,0.025,0.12,1.0,1.7658,0.0,0.002,0,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180906452332214,1.1069689379605898,-0.0001046776251317711,-0.0031435097779050026,-0.26180189514335167,0.750998123630699,-1.479257438396532e-05,-0.0025002160864017477,w-15.0_p+00.0_m120,-15.0,0.0,1.7449951171875,0,0
-0.2617993877991494,0.030455910226146167,0.0,0.2617993877991494,0.030455910226146167,0.0,0.025,0.12,1.0,1.7658,0.0,0.002,1,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2618090812955928,1.10813453640843,-0.00013292765211730156,-0.004126393518207515,-0.2618015830300957,0.7376344460679376,-7.758714626685437e-05,-0.003676559013183387,w-15.0_p+00.0_m120,-15.0,0.0,1.7449951171875,0,1
-0.2617993877991494,0.030455910226146167,0.0,0.2617993877991494,0.030455910226146167,0.0,0.025,0.12,1.0,2.5,0.0,0.002,1000,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180866181579787,1.077223332216434,7.216489668703379e-06,-0.002567229573039542,-0.261802268272202,0.8706567310032823,1.1579646102630828e-05,-0.0023099515806732345,w-15.0_p+00.0_m120,-15.0,0.0,1.7449951171875,1,0
-0.2617993877991494,0.030455910226146167,0.0,0.2617993877991494,0.030455910226146167,0.0,0.025,0.12,1.0,2.5,0.0,0.002,1001,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180902139110507,1.0913907837014754,5.020316926540846e-06,-0.0025925248285816006,-0.26180232076542204,0.8482177103113315,8.776978604459834e-06,-0.0022655972122195907,w-15.0_p+00.0_m120,-15.0,0.0,1.7449951171875,1,1
-0.2617993877991494,0.008325041567587699,0.03490658503988659,0.2617993877991494,0.008325041567587699,0.03490658503988659,0.025,0.12,1.0,1.7658,0.0,0.002,0,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180904726080856,1.1003080698477687,0.03417010766679591,0.03090477536161415,-0.2618019237000562,0.7666022061269547,0.03424194644655899,0.03147877277093136,w-15.0_p+02.0_m120,-15.0,2.0,0.47698974609375006,0,0
-0.2617993877991494,0.008325041567587699,0.03490658503988659,0.2617993877991494,0.008325041567587699,0.03490658503988659,0.025,0.12,1.0,1.7658,0.0,0.002,1,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2618091806597455,1.1060691898651533,0.033867755708111506,0.03035714308201834,-0.26180191850679424,0.7518017448809559,0.03389968740249575,0.030898158225523085,w-15.0_p+02.0_m120,-15.0,2.0,0.47698974609375006,0,1
-0.2617993877991494,0.008325041567587699,0.03490658503988659,0.2617993877991494,0.008325041567587699,0.03490658503988659,0.025,0.12,1.0,2.5,0.0,0.002,1000,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2618093046469649,1.098385717973913,0.0349104896242061,0.03219986568768677,-0.2618023448805206,0.8352606740365014,0.03491443676884736,0.032519809111745165,w-15.0_p+02.0_m120,-15.0,2.0,0.47698974609375006,1,0
-0.2617993877991494,0.008325041567587699,0.03490658503988659,0.2617993877991494,0.008325041567587699,0.03490658503988659,0.025,0.12,1.0,2.5,0.0,0.002,1001,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2618094485893641,1.104554121795506,0.034910375821246904,0.03219147972030489,-0.2618023416868612,0.8226743915882384,0.03491433500871687,0.03254558273094642,w-15.0_p+02.0_m120,-15.0,2.0,0.47698974609375006,1,1
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.12,1.0,1.7658,0.0,0.002,0,sweepB,drop,False,3.249999999999953,0.1627187951212071,2.7303927296478703,0.6372174451111109,0.11731852915902989,0.37603379419244287,0.43629344047849344,0.7989934053755032,0.7072012729148411,0.013370697275505295,-0.41199263076542214,0.43359991369451684,0.8842351558325376,0.008678640662660525,0.3798173838797159,-0.07083452076819126,-0.07199185518631099,0.2620658825543101,0.4773755417750284,-0.07067487828585757,-0.07183312507485165,w-15.0_p-05.0_m120,-15.0,-5.0,4.635925292968749,0,0
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.12,1.0,1.7658,0.0,0.002,1,sweepB,drop,False,,0.12007217068624983,0.8690576124221068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2617823770229892,0.8549234360176949,-0.045689070812003026,-0.04298500752133907,0.26180779802426524,1.0203374178316822,-0.045506295668460456,-0.04236949919717558,w-15.0_p-05.0_m120,-15.0,-5.0,4.635925292968749,0,1
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.12,1.0,2.5,0.0,0.002,1000,sweepB,no_grasp,False,,0.0,0.0,0.024551218487575417,0.018092286636928367,-0.007001729763461337,0.7916749859385361,0.03136836165628263,0.004879517572432531,0.004076920133936649,-0.0006948867627869278,0.8511087887525087,0.006407546998734246,-0.26179376032623797,0.07760229729373849,-0.08726628958664369,-0.08726602622053735,0.26179899574245974,0.0778843318657252,-0.08726628770404353,-0.08726596603144005,w-15.0_p-05.0_m120,-15.0,-5.0,4.635925292968749,1,0
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.12,1.0,2.5,0.0,0.002,1001,sweepB,drop,False,,0.0,0.0,0.5219790146865447,0.3000278782321949,0.2026195668896259,0.5165839291071266,0.6795943444749833,0.8314595336506396,0.051136724980553036,-0.41335464306681574,0.37904515681617384,0.976433021809343,-0.02762138540756201,0.32712944838270336,-0.07654874201998196,-0.07615610890149473,0.2620159420325064,0.4895459074493935,-0.07659527304452889,-0.07633313777650544,w-15.0_p-05.0_m120,-15.0,-5.0,4.635925292968749,1,1
-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.12,1.0,1.7658,0.0,0.002,0,sweepB,drop,False,,0.161018395173503,2.9773523310606462,1.0446725578817915,0.7267551336891512,0.14290239049061243,0.7263575245049164,1.3761121380529853,1.185377032377387,0.5949413057158728,-0.40060739106021676,0.6660103914592674,1.5072853458615327,-0.1480971325364452,0.2005788541311283,-0.07780372349207673,-0.07966153371629135,0.25445184417646793,0.2592751654492065,-0.07756821930296706,-0.07943914539266446,w-15.0_p-02.0_m120,-15.0,-2.0,2.95867919921875,0,0
-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.12,1.0,1.7658,0.0,0.002,1,sweepB,drop,False,,0.15972666875577476,2.249480211810111,0.10922897217713265,-0.021829936816744347,0.010842674850339292,0.1447576063591235,0.12255592989780999,0.09372807962325257,-0.002716693584973207,-0.07042720315339883,0.16148052255750187,0.13176898549261196,0.19416026393395192,0.6473220731132596,-0.03914809953926198,-0.04857478665287217,0.26220348947783606,0.8000040076846225,-0.037962368633933305,-0.04740462486520549,w-15.0_p-02.0_m120,-15.0,-2.0,2.95867919921875,0,1
-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.12,1.0,2.5,0.0,0.002,1000,sweepB,drop,False,,0.0,0.0,0.5447548121283777,0.31994667813026284,0.22948282076736876,0.5295348410891121,0.7158401792306736,0.8364914303954676,-0.0020275927822625316,-0.42400105499380825,0.4135306478139757,0.9889039398477714,-0.0229876009231409,0.30343445712897055,-0.0645153122371572,-0.06685669456924093,0.2622508828937471,0.5147540450804909,-0.06362826089478932,-0.06612258720108197,w-15.0_p-02.0_m120,-15.0,-2.0,2.95867919921875,1,0
-0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.2617993877991494,0.05163869353663643,-0.03490658503988659,0.025,0.12,1.0,2.5,0.0,0.002,1001,sweepB,drop,False,,0.041722931806202755,1.7485222160149676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26180173572881044,0.874715667498802,-0.025447931097698554,-0.023374967460737226,0.26180715442958685,1.0095013206877492,-0.02576128980780628,-0.02416621287822043,w-15.0_p-02.0_m120,-15.0,-2.0,2.95867919921875,1,1
-0.2617993877991494,-0.013747237546989026,0.06981317007977318,0.2617993877991494,-0.013747237546989026,0.06981317007977318,0.025,0.12,1.0,1.7658,0.0,0.002,0,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180919938000546,1.1012319145788536,0.06745193039481287,0.0629195069891642,-0.26180193199164686,0.758788730363326,0.06741738429383522,0.06326395975865393,w-15.0_p+04.0_m120,-15.0,4.0,-0.7876586914062499,0,0
-0.2617993877991494,-0.013747237546989026,0.06981317007977318,0.2617993877991494,-0.013747237546989026,0.06981317007977318,0.025,0.12,1.0,1.7658,0.0,0.002,1,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26180940738552616,1.1092607363200198,0.06787414761803591,0.06364815139043135,-0.2618019673763077,0.7492722179674964,0.06791445150189386,0.06415294823400942,w-15.0_p+04.0_m120,-15.0,4.0,-0.7876586914062499,0,1
-0.2617993877991494,-0.013747237546989026,0.06981317007977318,0.2617993877991494,-0.013747237546989026,0.06981317007977318,0.025,0.12,1.0,2.5,0.0,0.002,1000,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2618096501291168,1.1029036481783134,0.06981457507989536,0.06700919593864746,-0.26180246286892705,0.8306004652874934,0.06981779491809495,0.06729425282202821,w-15.0_p+04.0_m120,-15.0,4.0,-0.7876586914062499,1,0
-0.2617993877991494,-0.013747237546989026,0.06981317007977318,0.2617993877991494,-0.013747237546989026,0.06981317007977318,0.025,0.12,1.0,2.5,0.0,0.002,1001,sweepB,drop,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2618097012608755,1.1062244450035619,0.0698153627996297,0.06700665986178565,-0.26180243626217764,0.822785147345237,0.06981880660861256,0.06731056789204891,w-15.0_p+04.0_m120,-15.0,4.0,-0.7876586914062499,1,1
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.03,1.0,0.44145,0.0,0.002,0,sweepB,held,True,,0.00012122942075303471,0.010966320752531351,0.4492349957593586,0.37662642929449264,-0.0662488224285328,0.8512509099924157,0.5899582722114464,0.4491924686747426,0.3525900933126466,-0.06932861079899322,0.7999832989818142,0.5752425989716162,-0.2574530008742196,0.08010249845817541,-0.08726704120357036,-0.08726629123053883,0.2587602119983344,0.09618656809241469,-0.08726704340347988,-0.08726629672087181,w-15.0_p-05.0_m030,-15.0,-5.0,4.635925292968749,0,0
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.03,1.0,0.44145,0.0,0.002,1,sweepB,held,True,,0.00012577117728888211,0.013227884964748832,0.4494550135864137,0.382058947259904,-0.056769595051235355,0.8594709850973895,0.5926533343553287,0.44946526352009974,0.35591596208592313,-0.05769475339386344,0.802228330707541,0.5762455377426263,-0.2566258571368907,0.08005265760917764,-0.08726708089114839,-0.087266299084358,0.25939246330870397,0.09621800839959363,-0.08726708210167901,-0.08726630346739911,w-15.0_p-05.0_m030,-15.0,-5.0,4.635925292968749,0,1
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.03,1.0,0.05,0.0,0.002,1000,sweepB,no_grasp,False,,0.0,0.0,0.06100742629388503,0.02196769502295891,-0.005157237588036577,0.37609827763186643,0.06625999377625207,0.02813041213145577,0.023465056341265566,-0.0010428250960398179,0.8352903185933019,0.03666650537446756,-0.2617989766907648,0.07919549943374549,-0.08726628767137455,-0.08726603926909349,0.2617723436328508,0.07979219721598486,-0.08726628457848498,-0.08726600915635321,w-15.0_p-05.0_m030,-15.0,-5.0,4.635925292968749,1,0
-0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.2617993877991494,0.0809121602387874,-0.08726646259971647,0.025,0.03,1.0,0.05,0.0,0.002,1001,sweepB,drop,False,3.199999999999954,0.15436097348047145,0.6273270316871614,0.0887703276837132,0.0742417294755905,-0.0004564237050198258,0.49711103400212336,0.11577946089267724,0.091575387970932,0.07399025371377332,-0.00016421788338425155,0.4813676907044557,0.11777343753155393,-0.2592303480158687,0.10291346109900616,-0.08726607772834569,-0.08723783183310059,0.259263484003834,0.11231991473779827,-0.08726607921507405,-0.08725470995806084,w-15.0_p-05.0_m030,-15.0,-5.0,4.635925292968749,1,1
